11,3526.08,2557.38
11,3528.58,2559.72
11,3525.2,2563.68
11,3522.26,2561.38
9,3538.05,2559.99
9,3540.62,2557.18
9,3549.48,2565.35
9,3546.9,2568.3
10,3548.27,2577.95
10,3551.23,2580.21
10,3547.8,2584.37
10,3544.88,2581.86
6,3631.01,2491.12
6,3628.2,2488.7
6,3631.25,2484.92
6,3634.23,2487.56
7,3607.49,2484.63
7,3609.97,2482.02
7,3618.95,2490.21
7,3616.29,2493.03
8,3610.44,2472.96
8,3607.52,2470.59
8,3611.13,2466.57
8,3613.98,2468.91
5,3623.45,2467.79
5,3625.63,2465.41
5,3633.98,2472.43
5,3631.55,2475.11
3,3691.42,2392.31
3,3694.02,2389.65
3,3702.34,2397.13
3,3700.18,2399.78
4,3694.43,2380.03
4,3691.64,2377.54
4,3694.71,2374.16
4,3697.46,2376.49
1,3706.98,2375.24
1,3709.12,2372.82
1,3718.11,2380.17
1,3715.49,2382.95
2,3715.15,2392.07
2,3717.8,2394.46
2,3714.7,2398.22
2,3712.0,2395.78
0,3793.79,2296.7
0,3791.55,2299.34
0,3785.16,2293.41
0,3787.52,2290.51
13,3783.21,2287.41
13,3779.99,2287.2
13,3780.19,2282.45
13,3783.67,2282.63
12,3778.35,2290.09
12,3779.14,2293.53
12,3776.79,2294.33
12,3775.93,2290.85
