11,3526.08,2557.38
11,3528.58,2559.72
11,3525.2,2563.68
11,3522.26,2561.38
9,3538.05,2559.99
9,3540.62,2557.18
9,3549.48,2565.35
9,3546.9,2568.3
10,3547.59,2576.89
10,3550.76,2579.52
10,3547.25,2584.16
10,3543.85,2582.24
6,3631.68,2492.21
6,3628.52,2489.78
6,3632.21,2485.39
6,3635.26,2487.92
7,3619.63,2489.09
7,3617.24,2491.78
7,3608.59,2484.11
7,3610.99,2481.32
8,3610.13,2473.91
8,3607.78,2471.53
8,3611.39,2467.54
8,3614.25,2469.9
5,3622.39,2467.83
5,3624.78,2465.25
5,3633.01,2472.46
5,3630.45,2475.23
3,3690.66,2393.05
3,3693.26,2390.36
3,3701.73,2397.80
3,3699.31,2400.77
4,3694.32,2380.81
4,3691.80,2378.42
4,3695.01,2375.04
4,3697.77,2377.30
1,3705.96,2375.49
1,3708.46,2372.77
1,3717.18,2380.49
1,3714.55,2383.30
2,3714.89,2391.49
2,3717.47,2393.70
2,3714.23,2397.51
2,3711.44,2394.89
0,3794.69,2296.26
0,3792.42,2298.84
0,3786.00,2292.88
0,3788.30,2290.20
13,3784.57,2287.68
13,3780.81,2287.46
13,3781.04,2282.61
13,3784.72,2282.68
12,3779.15,2289.34
12,3779.89,2292.87
12,3777.45,2293.81
12,3776.67,2290.50
