POINTS,x,y
7_7,3609.722,2485.473
7_8,3610.395,2484.705
7_9,3611.056,2483.937
7_10,3610.439,2486.106
7_11,3611.104,2485.346
7_12,3611.777,2484.574
7_13,3611.156,2486.735
7_14,3611.824,2485.975
7_15,3612.485,2485.215
7_16,3611.872,2487.372
7_17,3612.533,2486.616
7_18,3613.202,2485.851
7_19,3612.589,2488.005
7_20,3613.257,2487.253
7_21,3613.91,2486.488
7_22,3613.301,2488.642
7_23,3613.97,2487.89
7_24,3614.623,2487.133
7_25,3614.026,2489.279
7_26,3614.682,2488.531
7_27,3615.335,2487.766
7_28,3614.746,2489.912
7_29,3615.395,2489.163
7_30,3616.052,2488.407
7_31,3615.459,2490.541
7_32,3616.108,2489.808
7_33,3616.76,2489.048
7_34,3616.175,2491.178
7_35,3616.824,2490.449
7_36,3617.473,2489.693
7_37,3616.892,2491.815
7_38,3617.537,2491.078
7_39,3618.182,2490.33
8_1,3608.502,2470.468
8_2,3609.267,2469.626
8_3,3610.037,2468.772
8_4,3610.795,2467.924
8_5,3611.572,2467.088
8_6,3609.267,2471.19
8_7,3610.043,2470.337
8_8,3610.819,2469.495
8_9,3611.589,2468.635
8_10,3612.354,2467.781
8_11,3610.043,2471.901
8_12,3610.807,2471.041
8_13,3611.56,2470.181
8_14,3612.33,2469.315
8_15,3613.094,2468.462
9_1,3539.756,2559.855
9_2,3540.46,2559.067
9_3,3541.147,2558.297
9_4,3540.55,2560.572
9_5,3541.23,2559.778
9_6,3541.929,2559.013
9_7,3541.314,2561.276
9_8,3542.019,2560.5
9_9,3542.699,2559.724
9_10,3542.102,2561.975
9_11,3542.789,2561.211
9_12,3543.476,2560.435
9_13,3542.878,2562.692
9_14,3543.571,2561.921
9_15,3544.252,2561.151
9_16,3543.661,2563.402
9_17,3544.353,2562.638
9_18,3545.016,2561.862
9_19,3544.443,2564.113
9_20,3545.124,2563.342
9_21,3545.804,2562.578
9_22,3545.225,2564.823
9_23,3545.9,2564.053
9_24,3546.575,2563.289
9_25,3546.001,2565.534
9_26,3546.676,2564.776
9_27,3547.351,2564.005
9_28,3546.784,2566.25
9_29,3547.464,2565.48
9_30,3548.109,2564.716
9_31,3547.566,2566.955
9_32,3548.246,2566.191
9_33,3548.903,2565.438
9_35,3549.005,2566.907
9_36,3549.668,2566.155
9_34,3548.342,2567.666
10_1,3545.883,2582.272
10_2,3546.621,2581.401
10_3,3547.355,2580.532
10_4,3548.096,2579.66
10_5,3548.836,2578.794
10_6,3546.591,2582.938
10_7,3547.34,2582.081
10_8,3548.09,2581.224
10_9,3548.839,2580.362
10_10,3549.584,2579.5
10_11,3547.312,2583.608
10_12,3548.058,2582.755
10_13,3548.817,2581.901
10_14,3549.569,2581.053
10_15,3550.321,2580.205
11_1,3523.898,2562.456
11_2,3524.662,2561.602
11_3,3525.432,2560.76
11_4,3526.215,2559.912
11_5,3526.985,2559.076
11_6,3524.686,2563.196
11_7,3525.45,2562.33
11_8,3526.227,2561.471
11_9,3527.009,2560.611
11_10,3527.779,2559.763
11_11,3525.474,2563.931
11_12,3526.238,2563.065
11_13,3527.006,2562.181
11_14,3527.773,2561.309
11_15,3528.537,2560.432
